timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1743886691728,810,HTTP Request,200,OK,Thread Group 1-24,text,true,,303,231,40,40,http://localhost:3218/transaction,810,0,1
1743886691627,952,HTTP Request,200,OK,Thread Group 1-16,text,true,,303,231,40,40,http://localhost:3177/transaction,952,0,0
1743886691451,1136,HTTP Request,200,OK,Thread Group 1-12,text,true,,303,231,41,41,http://localhost:3111/transaction,1136,0,3
1743886691626,962,HTTP Request,200,OK,Thread Group 1-26,text,true,,303,231,41,41,http://localhost:3081/transaction,962,0,1
1743886691732,866,HTTP Request,200,OK,Thread Group 1-15,text,true,,303,231,41,41,http://localhost:3017/transaction,866,0,1
1743886691828,776,HTTP Request,200,OK,Thread Group 1-3,text,true,,303,231,41,41,http://localhost:3040/transaction,776,0,0
1743886691629,976,HTTP Request,200,OK,Thread Group 1-17,text,true,,303,231,41,41,http://localhost:3166/transaction,976,0,2
1743886691847,765,HTTP Request,200,OK,Thread Group 1-22,text,true,,303,231,41,41,http://localhost:3093/transaction,765,0,1
1743886691784,834,HTTP Request,200,OK,Thread Group 1-33,text,true,,303,231,41,41,http://localhost:3007/transaction,834,0,1
1743886691985,634,HTTP Request,200,OK,Thread Group 1-35,text,true,,303,231,41,41,http://localhost:3229/transaction,634,0,1
1743886691978,671,HTTP Request,200,OK,Thread Group 1-9,text,true,,303,231,41,41,http://localhost:3105/transaction,671,0,3
1743886691920,730,HTTP Request,200,OK,Thread Group 1-4,text,true,,303,231,41,41,http://localhost:3250/transaction,730,0,2
1743886691884,841,HTTP Request,200,OK,Thread Group 1-34,text,true,,303,231,42,42,http://localhost:3086/transaction,841,0,1
1743886692038,727,HTTP Request,200,OK,Thread Group 1-18,text,true,,303,231,42,42,http://localhost:3120/transaction,727,0,1
1743886692086,702,HTTP Request,200,OK,Thread Group 1-36,text,true,,303,231,43,43,http://localhost:3038/transaction,702,0,0
1743886692184,608,HTTP Request,200,OK,Thread Group 1-37,text,true,,303,231,43,43,http://localhost:3255/transaction,608,0,1
1743886692180,635,HTTP Request,200,OK,Thread Group 1-13,text,true,,303,231,43,43,http://localhost:3205/transaction,635,0,1
1743886692284,539,HTTP Request,200,OK,Thread Group 1-38,text,true,,303,231,43,43,http://localhost:3197/transaction,539,0,0
1743886692149,718,HTTP Request,200,OK,Thread Group 1-28,text,true,,303,231,43,43,http://localhost:3136/transaction,718,0,1
1743886692306,663,HTTP Request,200,OK,Thread Group 1-30,text,true,,303,231,44,44,http://localhost:3066/transaction,663,0,0
1743886692304,679,HTTP Request,200,OK,Thread Group 1-7,text,true,,303,231,44,44,http://localhost:3236/transaction,679,0,1
1743886692360,642,HTTP Request,200,OK,Thread Group 1-32,text,true,,303,231,45,45,http://localhost:3149/transaction,642,0,7
1743886692432,580,HTTP Request,200,OK,Thread Group 1-25,text,true,,303,231,45,45,http://localhost:3195/transaction,580,0,0
1743886692361,651,HTTP Request,200,OK,Thread Group 1-1,text,true,,303,231,45,45,http://localhost:3003/transaction,651,0,20
1743886692262,755,HTTP Request,200,OK,Thread Group 1-5,text,true,,303,231,45,45,http://localhost:3036/transaction,755,0,1
